QuestionId,AnswerId,CommentId,QuestionAuthor,AnswerAuthor,CommentAuthor,AnswerScore,Tags,CommentIndex,CommentDate,CommentScore,Comment,CommentGroups,HasEditsAfter,"EditGroups(EditIndex,MatchedGroups)",EditId,EditAuthor,EditDate,EditsByAuthor,EditsByOthers,"CommentMentions/Replies(MentionedUser,CommentAuthor)",Confirmed,Useful,Tangled,Category
7477,7875,9548003,Mike,Shog9,Gapipro,38,<javascript><html><css><textarea><prototypejs>,1,2011-10-20 7:18:36,0,"To simply make it shrink to, you just need to add this code before line 6:
`if (text.clientHeight == text.scrollHeight)
 text.style.height = ""20px"";`","['scrollHeight', 'clientHeight == text', 'height = ""20px""', 'clientHeight']",TRUE,"[(2, ['scrollHeight', 'clientHeight == text', 'height = ""20px""', 'clientHeight'])]",18676852,loxdog,2011-12-01 14:13:53,0,1,,1,1,0,Extension
361151,361158,192604,The Digital Ninja,Sydius,Tom Haigh,3,<php><html>,1,2008-12-12 10:20:51,0,as well as calling htmlspecialchars() you should check that the variable is also set (e.g. isset($_GET['test1']) ? $_GET['test1'] : '' ),"[""$_GET['test1'])"", ""'test1'"", ""$_GET['test1']"", '_GET', ""htmlspecialchars() you should check that the variable is also set (e.g. isset($_GET['test1']) ? $_GET['test1'] : '' )""]",TRUE,"[(2, [""$_GET['test1'])"", ""$_GET['test1']""])]",591274,Sydius,2008-12-14 4:28:09,1,0,,1,1,0,Flaw
514448,514517,328945,bigturtle,Bluu,Ryan Ginstrom,10,<python><algorithm><python-3.x><character>,1,2009-02-05 10:24:40,0,"One more thing: if you want the range to be inclusive, do
>>> for code in range(ord('a'), ord('z')+1):
 print unichr(code)","['unichr(code)', ""'a'"", ""range(ord('a'), ord('z')+1)"", ""'z'""]",TRUE,"[(2, [""range(ord('a'), ord('z')+1)""])]",113885494,Bluu,2016-03-22 22:52:14,1,0,,1,1,0,Extension
559902,560006,376307,lostInTransit,Brian Gianforcaro,lostInTransit,49,<android>,1,2009-02-19 12:37:29,3,Thanks. Tried that. It gives an exception (java.net.URI should have a valid scheme),['net.URI'],TRUE,"[(3, ['net.URI'])]",149614612,Armand Delessert,2017-06-17 23:38:52,0,1,,0,,,
818287,818313,629038,Josh Leitzel,Camilo Díaz Repka,KitsuneYMG,13,<java><swing><formatting><rendering><jtable>,1,2009-05-04 12:57:27,5,You need to use Object.class because you created a JTable w/o passing in a TableModel. The default table model created returns Object.class for each columns type. See: TableModel::getColumnClass(int col),"['getColumnClass(int col)', 'getColumnClass', 'TableModel']",TRUE,"[(2, ['getColumnClass(int col)', 'getColumnClass'])]",25797014,lanoxx,2012-06-20 20:45:41,0,1,,0,,,
938958,939060,747103,Chathuranga Chandrasekara,Emre,Andreas_D,7,<java><compression><zip><extraction>,1,2009-06-02 11:49:02,1,ZipEntry has a method named isDirectory(). That should simplify the detection of directory entries in the zip archive.,"['isDirectory()', 'isDirectory', 'ZipEntry']",TRUE,"[(2, ['isDirectory()', 'isDirectory'])]",1820066,Emre,2009-06-02 12:01:39,1,0,,1,1,0,Solution
233504,1276894,1364746,dasp,None,Paul Morrison,13,<java><metadata><jpeg><dpi><javax.imageio>,1,2009-10-02 17:42:55,2,Where is F_scaledImg set? Is it the same as bufferedImage? Sorry if this is a dumb question...,"['F_scaledImg', 'bufferedImage']",TRUE,"[(2, ['F_scaledImg'])]",101213707,Gray,2015-10-06 17:30:24,0,1,,0,,,
1318935,1318955,1153485,Oliver,Ants Aasma,hughdbrown,0,<python><list>,1,2009-08-24 1:35:15,0,"Two solutions, both off: no upvote.

Your first solution would be right if it produced lists instead of sets. Here is a one-line fix:

superlists = [cand for i, cand in enumerate(initial_lists) if not any(set(target).issuperset(set(cand)) for target in initial_lists[:i]+initial_lists[i+1:])]","['initial_lists', 'enumerate(initial_lists) if not any(set(target).issuperset(set(cand)) for target in initial_lists[:i]+initial_lists[i+1:])', 'superlists = [cand for i, cand in enumerate']",TRUE,"[(3, ['initial_lists'])]",2600726,Ants Aasma,2009-08-24 9:57:18,1,0,,0,,,
1417190,1417254,1260803,dogbane,KLE,dogbane,7,<java><static><naming-conventions><final><logg...,1,2009-09-13 14:11:51,2,Eclipse syntax is: Logger.getLogger(${enclosing_type}.class);,"['getLogger', 'getLogger(${enclosing_type}.class)', 'Logger.getLogger(${enclosing_type}.class)']",TRUE,"[(3, ['getLogger(${enclosing_type}.class)', 'Logger.getLogger(${enclosing_type}.class)'])]",2803632,KLE,2009-09-13 19:50:00,1,0,,1,1,0,Error
1460512,1460531,1312801,Nathan Fellman,SilentGhost,Nathan Fellman,13,<python><list>,1,2009-09-23 5:47:40,0,"Is the lambda function really necessary? why can't I just have `key = distance(x, point_a))`? Is it because the key function has to be a function of a single argument?","['key = distance', 'point_a', 'key = distance(x, point_a))', 'distance(x, point_a))']",TRUE,"[(2, ['key = distance', 'point_a'])]",2900586,SilentGhost,2009-09-23 9:13:36,1,0,,1,0,0,Question
1582750,1582903,1445150,mr.zog,Michael Dillon,mr.zog,0,<python><text><editing>,1,2009-10-17 20:29:59,0,"When I tried to use the above I got:

root@spork# ./pyifchk.py 
Traceback (most recent call last):
 File ""./pyifchk.py"", line 22, in <module>
 lns = re.sub(LASTKNOWN,CURRENT,lns) 
 File ""/usr/local/lib/python2.5/re.py"", line 150, in sub
 return _compile(pattern, 0).sub(repl, string, count)
TypeError: expected string or buffer","['sub(LASTKNOWN,CURRENT,lns)', 're.sub(LASTKNOWN,CURRENT,lns)', '<module>', 'lns = re', '_compile(pattern, 0).sub(repl, string, count)', 'TypeError']",TRUE,"[(2, ['sub(LASTKNOWN,CURRENT,lns)', 're.sub(LASTKNOWN,CURRENT,lns)'])]",3155279,Michael Dillon,2009-10-18 17:41:19,1,0,,0,,,
1606943,1606967,1472984,JamesArmes,Yannick Motton,JamesArmes,24,<php>,1,2009-10-22 14:03:06,0,"Redirecting using
 $command = 'mysql_tzinfo_to_sql /usr/share/zoneinfo | mysql mysql 2> /dev/null';
still causes the same output. However, calling my script like
 php mysql_timezones.php 2> /dev/null
properly suppress the output. Is it possible to get the same results without calling my script in that fashion?","['command =', '$command', 'mysql_timezones']",TRUE,"[(4, ['command =', '$command'])]",3202395,Yannick Motton,2009-10-22 14:38:37,1,0,,1,0,0,Request
1675766,1721911,1600740,Jeroen Dirks,robince,Jeroen Dirks,39,<python><multiprocessing><shared-memory><pool>,1,2009-11-12 14:10:38,0,Even on platforms with fork you can not insert new shared data into toShare after the fork since each process will have its own independent copy at that point.,['toShare'],TRUE,"[(3, ['toShare'])]",3444052,robince,2009-11-12 16:25:41,1,0,,1,0,0,Disagree
1727077,1727150,1615890,Xeoncross,user210179,Xeoncross,167,<php><timezone><utc>,1,2009-11-14 21:59:35,5,Using PHP 5.2.5 I'm getting `Undefined class constant 'AFRICA'` when I try to use the DateTimeZone class. I checked the defined classes and it's listed so maybe windows needs something else for this to work.,"['DateTime', ""'AFRICA'"", ""Undefined class constant 'AFRICA'""]",TRUE,"[(3, ['DateTime'])]",35341688,NateWr,2013-02-01 12:46:06,0,2,,0,,,
1757805,1757843,1645650,Richard Knop,David Hedlund,David Hedlund,6,<javascript><jquery>,1,2009-11-19 8:47:39,0,"@eduncan911: it would fire more than once, actually. once it has fired, it'll set itself to null, which means the next time `change` is triggered, `ajaxQueue` will be falsey, and a new timeout will be set. if it had not fired, though, it wouldn't register a new timeout, which is exactly the desired result","['change', 'ajaxQueue']",TRUE,"[(2, ['ajaxQueue'])]",14084980,kpozin,2011-06-24 14:20:02,0,1,,0,,,
1760917,1804490,1692820,sanity,Lorenzo Boccaccia,sanity,2,<java><beanshell>,1,2009-11-26 16:26:40,0,"I tried console.print() per your suggestion, but this seems to send output to System.out of my application, not the console :-/","['print()', 'console.print()']",TRUE,"[(2, ['print()'])]",3641964,Lorenzo Boccaccia,2009-11-30 9:09:32,1,0,,1,0,0,Error
1938203,1938319,1847981,amit,prodigitalson,amit,1,<php><javascript><jquery><ajax>,1,2009-12-21 5:12:19,0,"i didnt get you. why doesnt that go to php page with $.post?
and how do i make it go?",['$.post'],TRUE,"[(2, ['$.post'])]",3891267,prodigitalson,2009-12-21 5:14:36,1,0,,0,,,
1947324,1947343,1858170,ansh,Sampson,ansh,2,<php><mysql><codeigniter><doctrine>,1,2009-12-22 16:14:31,0,"I m getting doctrine Error


 $userid = $this->session->userdata(""user_id"");
 $vars['mood'] = Doctrine_Query::create()
 ->select('m.mood_name, a.id, m.account_id')
 ->from('mood m, m.account a')
 ->where('m.account_id=$userid')
 ->execute();","['Doctrine_Query', ""$vars['mood']"", ""where('m.account_id=$userid')"", ""'mood'"", 'execute()', ""from('mood m, m.account a')"", 'userdata(""user_id"")', 'create()', ""select('m.mood_name, a.id, m.account_id')"", '$this->session->userdata(""user_id"");', ""$userid')"", '$userid', 'userid =']",TRUE,"[(2, ['userdata(""user_id"")'])]",3909999,Sampson,2009-12-22 16:15:43,1,0,,0,,,
2015230,2015329,1937214,Devner,MindStalker,Devner,3,<php><mysql><join>,1,2010-01-06 20:20:35,0,"@MindStalker Thanks for the response. I am trying to fetch the results for all the books that are in store and not just a specific book. So in the query, we cannot supply a specific book_id. Rather, we would have to just join the tables and fetch all the books that has in_store = 'y' (be it 100 books or 500 or 1000). With this in mind, how can we modify your query to accomodate the same?","['in_store =', 'book_id', 'in_store', ""'y'""]",TRUE,"[(4, ['book_id', ""'y'""])]",50692081,Mihai,2013-11-03 22:33:33,1,1,,0,,,
2061068,2061144,1993421,Roch,rayd09,mtpettyp,21,<java><sql><jpa>,1,2010-01-14 14:42:34,7,Don't use query.getSingleResult() as an exception could be thrown if there is not exactly one row returned - see http://java.sun.com/javaee/5/docs/api/javax/persistence/Query.html#getSingleResult(),"['query.getSingleResult()', 'getSingleResult()', 'getSingleResult']",TRUE,"[(2, ['getSingleResult()', 'getSingleResult'])]",4162648,rayd09,2010-01-14 17:42:35,1,0,,1,0,0,Flaw
2116963,2116999,2053530,Klanestro,kjagiello,Klanestro,3,<php>,1,2010-01-22 12:30:25,0,"<b>Parse error</b>: syntax error, unexpected T_AS, expecting ';' in <b>/Users/briancarpenter/Sites/Vortoj/preniVortoj.php</b> on line <b>104</b><br /> thats for($object->quizzes as $quiz)
 I changed $object to $SFvorto in for($object->quizzes as $quiz) same error","['$quiz)', '<b>', 'for($object->quizzes as $quiz)', 'T_AS', '</b>', '$SFvorto', '$object', 'preniVortoj', '$object->quizzes']",TRUE,"[(4, ['for($object->quizzes as $quiz)'])]",4270915,kjagiello,2010-01-22 12:37:41,1,0,,1,0,0,Error
2182465,2182488,2129829,ramesh,Sampson,Gumbo,3,<php><arrays>,1,2010-02-02 7:44:24,2,Isn’t it `$array[0]->columns['a21ha:link_0']->value`?,"[""$array[0]->columns['a21ha:link_0']->value""]",TRUE,"[(2, [""$array[0]->columns['a21ha:link_0']->value""])]",4410352,Sampson,2010-02-02 7:59:26,1,0,,1,0,0,Question
2206378,2206432,13202829,Daniel Rikowski,NawaMan,john16384,315,<java>,1,2012-04-22 11:18:48,3,"That should be: `String.format(WITH_DELIMITER, "";"");` as format is a static method.","['format(WITH_DELIMITER, "";"")', 'String.format(WITH_DELIMITER, "";"")', 'WITH_DELIMITER', 'String.format(WITH_DELIMITER, "";"");']",TRUE,"[(6, ['String.format(WITH_DELIMITER, "";"")'])]",52168276,luiges90,2013-11-24 10:17:07,0,1,,1,1,0,Correction
