"AnswerId","CommentId","Comment Author","Comment Date","Comment Index","Comment","EditGroups","EditGroups - Same Commenter/Editor","EditGroups - Different Commenter/Editor","EditGroups - with Cardinality","EditGroups - with improved regex","Edit Index – Author 1","Reason","Useful standalone?","Edit Index – Author 2","Reason","Useful standalone?","Relation Conflict","EditIds","Pair found?","Useful conflict","Useful"
211161,12503783,"artsrc","Mar 22 '12 at 02:12:38",1,"I am really interested in the usefulness of this kind of thing versus the complexity. When I C#'ify your english description I get this:
<pre>
 interface IBuilder<TMessage>
 {
 IMessage<TMessage> GetMessage();
 }

 interface IMessage<TMessage>
 {
 IBuilder<TMessage> GetBuilder();
 }

</pre>","[(3, ['IMessage<TMessage>', 'GetBuilder()', 'GetMessage()', 'GetMessage', '</pre>', '<TMessage>', 'GetBuilder', '<pre>', 'IBuilder<TMessage>'])]",,,,,,,,,,,"No",,"No","N/A",
211161,12506711,"Jon Skeet","Mar 22 '12 at 06:45:28",2,"@artsrc: I can't remember offhand why it needs to be generic in both the builder and the message. I'm pretty sure I wouldn't have gone down that route if I hadn't needed it though :)","[(3, [""'m pretty sure I wouldn'""])]",,,,,,,,,,,"No",,"No","N/A",
211161,25827529,"MD Sayem Ahmed","Jul 18 '13 at 09:49:33",3,"@JonSkeet: I might be too late, but couldn't stop asking. Does the `<E extends Enum<E>>` really stops me to pass a type argument which is not the new type being defined? I mean, for example, I could define two subtypes - one is `public class First extends Enum<First>`, and the other one is `public class Second extends Enum<First>`. The declaration isn't stopping me to mix subtypes here.","[(3, ['Enum<E>', 'public class Second extends Enum<First>', 'Enum<First>', '<E extends Enum<E>>', 'public class First extends Enum<First>', '<First>', '<E>'])]","[(3, {'<First>', 'Enum<First>'})]","[(3, {'Enum<First>', '<First>'})]","[(3, ['Enum<First>', '<First>'])]","[(3, ['Enum<First>', '<First>'])]",3,"Comment is asking for clarification on a particular scenario and an edit is made to add the note","No",3,"Edit added an explanation in relation to what the commenter was saying (and next comment explictly says this is what happened)","No","No",3,"Yes","No","No"
211161,25827786,"Jon Skeet","Jul 18 '13 at 09:56:00",4,"@SayemAhmed: Yes, it doesn't prevent *that* aspect of mixing up the types. I'll add a note about this.",,,,,,3,,,,,,"Yes",,"No","N/A",
211161,45711662,"newacct","Feb 25 '15 at 05:17:41",5,"""The purpose is to give benefits in the right case rather than protect you from the wrong case."" But in the case of `Enum` there are no benefits beyond the benefits that would be given by just `class Enum<E>`.","[(4, ['Enum<E>', 'class Enum<E>', 'Enum', '<E>'])]",,,,,,,,,,,"No",,"No","N/A",
211161,45711676,"newacct","Feb 25 '15 at 05:18:20",6,"""I've used something similar in my C# port of ProtocolBuffers."" But that's different because builders have instance methods that return the type parameter type. `Enum` doesn't have any instance methods that return the type parameter type.","[(4, ['Enum', 'ProtocolBuffers'])]",,,,,,,,,,,"No",,"No","N/A",
211161,45713712,"Jon Skeet","Feb 25 '15 at 06:51:48",7,"@newacct: They have `compareTo` that *accepts* the type parameter though - and it enables other things like `EnumMap` to work. It's too early in the morning for me to think about this hard, but I'm pretty sure there *are* benefits to it...","[(4, ['compareTo', 'EnumMap'])]",,,,,,,,,,,"No",,"No","N/A",
211161,45719355,"newacct","Feb 25 '15 at 09:53:41",8,"@JonSkeet: Well, 1) `Enum` cannot be manually subclassed, so it is already guaranteed that the parameter is the same as the type, even without the bound. 2) If `Enum` could be manually subclassed, the bound does not prevent the type parameter to be a different enum type than the instance's type. 3) If you are saying that `compareTo` just needs to use `ordinal` from any `Enum`, then a bound of `class Enum<E extends Enum<?>>` would be sufficient.","[(4, ['Enum', 'class Enum<E extends Enum<?>>', 'compareTo', 'ordinal'])]",,,,,,,,,,,"No",,"No","N/A",
211161,45719400,"newacct","Feb 25 '15 at 09:55:06",9,"@JonSkeet: And even if `Enum` could be manually subclassed, this whole `compareTo` thing can still be done with `class Enum<E>` by making `compareTo` abstract, the language would provide a `compareTo` implementation for `enum` types, and if you manually subclass `Enum`, then you need to provide an appropriate `compareTo` that matches your type parameter. The fact that `compareTo` is non-abstract is a library design issue.","[(4, ['Enum', 'Enum<E>', 'class Enum<E>', 'compareTo', 'enum', '<E>'])]",,,,,,,,,,,"No",,"No","N/A",
211161,45719636,"Jon Skeet","Feb 25 '15 at 10:01:08",10,"@newacct: I suspect that `class Enum<E extends Enum<?>>` would indeed be sufficient in most cases... but given that the enum classes *are* always autogenerated, why not express that extra information within the type system? I don't see it doing any harm, other than causing a bit of head-scratching... and I suspect that there *are* cases where it's useful, even if I'm still having a hard time coming up with an immediate example. Expressing more information in the type system usually feels better than expressing less...","[(4, ['class Enum<E extends Enum<?>>'])]",,,,,,,,,,,"No",,"No","N/A",
211161,45750143,"newacct","Feb 26 '15 at 00:01:05",11,"@JonSkeet: Given that enum classes are always autogenerated, I am claiming that `class Enum<E>` is sufficient in all cases. And in Generics you should only use a more restrictive bound if it's actually necessary to ensure type safety.","[(4, ['Enum<E>', 'class Enum<E>', '<E>'])]",,,,,,,,,,,"No",,"No","N/A",
211161,45750229,"newacct","Feb 26 '15 at 00:06:13",12,"@JonSkeet: Also, if `Enum` subclasses weren't always autogenerated, the only reason you would need `class Enum<E extends Enum<?>>` over `class Enum<E>` is the ability to access `ordinal` for `compareTo()`. However, if you think about it, it doesn't make sense from the language point of view to allow you to compare two different types of enums via their ordinals. Therefore, the implementation of `Enum.compareTo()` that uses `ordinal` only makes sense in the context of `Enum` subclasses being autogenerated. If you could manually subclass `Enum`, `compareTo` would probably have to be `abstract`.","[(4, ['compareTo()', 'abstract', 'Enum', 'Enum<E>', 'class Enum<E>', 'Enum.compareTo', 'Enum.compareTo()', 'compareTo', 'class Enum<E extends Enum<?>>', 'ordinal', '<E>'])]",,,,,,,,,,,"No",,"No","N/A",
211161,45756554,"Jon Skeet","Feb 26 '15 at 06:44:59",13,"@newacct: Maybe you're right. I'm not convinced yet, but maybe you're right. Either way, I don't really think it's appropriate to take this further in comments on an answer over 6 years old, so I'll bow out at this point.","[(4, [""'t really think it'""])]",,,,,,,,,,,"No",,"No","N/A",
211161,82983074,"Rajan Prasad","Dec 28 '17 at 12:22:27",14,"Yes. I too noticed that what you mentioned in the Edit is still possible. In this case, `B.compareTo(A a)` will still compile, though it is semantically incorrect.",,,,,,,,,,,,"No",,"No","N/A",
240165,103524,"iny","Oct 27 '08 at 15:14:40",1,"Should that second be valueOf method?","[(3, ['valueOf'])]","[(3, {'valueOf'})]","[(3, {'valueOf'})]","[(3, ['valueOf'])]","[(3, ['valueOf'])]",3,"Comment asks whether there is a missing method name and edit was made to add it","Yes",3,,"Yes","No",3,"Yes","No","Yes"
240165,104015,"Ken Gentle","Oct 27 '08 at 18:08:22",2,"[iny] is absolutely correct - edited to reflect.",,,,,,,,,,,,"No",,"No","N/A",
240165,11309769,"Ed Staub","Jan 26 '12 at 14:50:11",3,"-1 If I'm not mistaken, the advice on valueOf here is ... wrong, to be gentle ;-). `valueOf()` is static, and of no use in the body of a particular enum value. And even once all this is fixed, the ""correct"" implementation would be wrong, in that the compiler doesn't allow a static override on `static public valueOf(String)`. The common fix is to simply not use `valueOf` - use a different name.",,,,,,,,,,,,"No",,"No","N/A",
7416218,8962635,"medopal","Sep 14 '11 at 12:27:38",1,"what is the reason of making it `final class`?","[(3, ['final class'])]",,,,,,,,,,,"No",,"No","N/A",
7416218,8962653,"Jon Skeet","Sep 14 '11 at 12:28:52",2,"@medopal: Equality and other things become harder to implement correctly (when there even *is* an idea of correctness) when inheritance is involved. Likewise when I know there are no subclasses, I know it's immutable. Basically I subscribe to ""design for inheritance or prohibit it"".",,,,,,,,,,,,"No",,"No","N/A",
7416218,8962679,"Scorpion","Sep 14 '11 at 12:30:39",3,"or ""depending on the use case"" use guava or apache commons to avoid the branching in your code and the let the library implement the hashcode and equals method.",,,,,,,,,,,,"No",,"No","N/A",
7416218,8962716,"Jon Skeet","Sep 14 '11 at 12:32:08",4,"@Carlos: No, hence the sentence stating ""You don't have to override equals and hashCode for TreeSet to work, but it would make sense to do so."" I find it much easier to reason about code when comparable implementations *also* obey natural equality.","[(3, ['TreeSet', 'hashCode'])]",,,,,,,,,,,"No",,"No","N/A",
7416218,8962757,"Tom Hawtin - tackline","Sep 14 '11 at 12:34:38",5,"""Note that null is not an instance of any class, and e.compareTo(null) should throw a NullPointerException even though e.equals(null) returns false."" Drop the first if statement.","[(3, ['e.compareTo', 'e.equals(null)', 'e.compareTo(null)', 'equals(null)', 'NullPointer', 'compareTo', 'compareTo(null)', 'e.equals'])]",,,,,3,"Comment says to remove the first if statement","Yes",3,,"Yes","No",3,"Yes","No","Yes"
