,,,,,,,,50%,60%,70%,80%,90%,100%
AnswerId,AnswerAuthor,CommentAuthor,Comment,CommentGroups,ManualAnnotation,HasCode,OnlyCodeComments,"EditGroups(EditIndex,MatchedGroups)","EditGroups(EditIndex,MatchedGroups)","EditGroups(EditIndex,MatchedGroups)","EditGroups(EditIndex,MatchedGroups)","EditGroups(EditIndex,MatchedGroups)","EditGroups(EditIndex,MatchedGroups)"
40189,Naseer,Lily,"in sdk 2.1, it should be: 
sqlite3 /data/data/com.android.providers.settings/databases/settings.db",,3,1,3,,,,,,
40189,Naseer,Paresh Mayani,"I am doing with 2.3, it is showing the error: Error: unable to open database ""/data/data/com.google.android.providers.settings/databases/settings.db"": unable to open database file",,3,1,3,,,,,,
40189,Naseer,Paresh Mayani,"Error is resolved: In 2.3, it should be sqlite3 /data/data/com.android.providers.settings/databases/settings.db as Lily has stated above.",,3,1,3,,,,,,
40189,Naseer,liquide,"I have error: ""No such table: system"". When I go to sqlite3 and this location and type "".tables"" I have empty database. When I type "".databases"" I can see ""main"". I use Android Emulator, nexus4, api23. Please help.",,, ,,,,,,,
62680,user6868,zakdances,What happens if one of A's attribute's has a custom getter? (a function with a @property decorator)? Does it still show up in ____dict____? What will its value be?,"['____', ""'s attribute'""]",,,,,,,,,
62680,user6868,Antimony,`__dict__` won't work if the object is using slots (or defined in a C module).,['__dict__'],,,,,,,,,
62680,user6868,chiffa,"Is there an equivalent of this method for the class objects? I.E. Instead of using f=Foo() and then doing f.__dict__, do directly Foo.__dict__?","['Foo()', 'I.E', '__dict__', 'f=Foo']",,,,,,,,,
62680,user6868,robert,"Sorry, I'm coming to this late, but shouldn't `vars(a)` do this? For me it's preferable to invoking the `__dict__` directly.","['vars(a)', '__dict__']",4,1,4,"[(4, ['vars(a)'])]","[(4, ['vars(a)'])]","[(4, ['vars(a)'])]","[(4, ['vars(a)'])]","[(4, ['vars(a)'])]","[(4, ['vars(a)'])]"
62680,user6868,Tadhg McDonald-Jensen,"for second example it would be better to do `__getattr__ = dict.__getitem__` to exactly replicate the behaviour, then you would also want `__setattr__ = dict.__setitem__` and `__delattr__ = dict.__delitem__` for complete-ness.","['__delitem__', '__setattr__ = dict', '__setattr__ = dict.__setitem__', '__delattr__ = dict', '__getattr__ = dict.__getitem__', '__getitem__', '__getattr__ = dict', '__delattr__', '__getattr__', '__setitem__', '__delattr__ = dict.__delitem__', '__setattr__']",,,,,,,,,
62680,user6868,cowbert,The best practice in Python 2.7 is to use `vars(Object)` if `Object` inherits from `object`,"['object', 'vars(Object)', 'Object']",4,1,4,"[(4, ['vars(Object)'])]","[(4, ['vars(Object)'])]",,,,
62680,user6868,maxkoryukov,"@robert since it is the end of 2017 (9 years after the question was asked, and this answer was accepted), so I have moved your notice about `vars` to the answer's body.",['vars'],,,,,,,,,
62680,user6868,Naramsim,Any way to preserve the order of the keys?,,,,,,,,,,
62680,user6868,Jacob Lee,"It may be worth including a warning that vars(obj) and obj.__dict__ will not provide custom class attributes (e.g. class Foo(): fooname='fooname'). Some might not expect that, since obj.class_attribute and obj.object_attribute look like similar.","['obj.object_attribute', '__dict__', ""'fooname'"", 'obj.class_attribute', ""vars(obj) and obj.__dict__ will not provide custom class attributes (e.g. class Foo(): fooname='fooname')""]",,,,,,,,,
151940,Reto Meier,Dave L.,"In onRestoreInstanceState, I think you mean for the first line to be super.onRestoreInstanceState rather than super.onSaveInstanceState","['onSaveInstance', 'onRestoreInstance']",2,1,2,"[(2, ['onRestoreInstance', 'onSaveInstance'])]","[(2, ['onSaveInstance', 'onRestoreInstance'])]","[(2, ['onSaveInstance', 'onRestoreInstance'])]","[(2, ['onRestoreInstance', 'onSaveInstance'])]","[(2, ['onRestoreInstance', 'onSaveInstance'])]","[(2, ['onRestoreInstance', 'onSaveInstance'])]"
151940,Reto Meier,Adam Jack,"Any chance this works on the phone, but not in the emulator? I cannot seem to get a non-null savedInstanceState.",['savedInstanceState'],,,,,,,,,
151940,Reto Meier,AZ_,I have an ArrayList of points how to save all points in this array list and then restore them?,['ArrayList'],,,,,,,,,
151940,Reto Meier,Reto Meier,"@Shaun: It does, Fragments have an onSaveInstanceState handler as well.",['onSaveInstance'],,,,,,,,,
151940,Reto Meier,Shaun,"But it doesnt have an onRestoreInstanceState, which really makes the onSaveInstanceState useless in this example","['onSaveInstance', 'onRestoreInstance']",,,,,,,,,
151940,Reto Meier,jkschneider,"CAREFUL: you need to call super.onSaveInstanceState(savedInstanceState) before adding your values to the Bundle, or they will get wiped out on that call (Droid X Android 2.2).","['super.onSaveInstanceState(savedInstanceState) before adding your values to the Bundle, or they will get wiped out on that call (Droid X Android 2.2)', 'savedInstanceState', 'onSaveInstanceState(savedInstanceState) before adding your values to the Bundle, or they will get wiped out on that call (Droid X Android 2.2)', 'onSaveInstance']",4,1,4,,,,,,
151940,Reto Meier,hotshot309,"@Shaun, looks like you found out [after posting this comment](http://stackoverflow.com/questions/5412746/android-fragment-onrestoreinstancestate) that something equivalent to `onRestoreInstanceState` is also available to Fragments.",['onRestoreInstanceState'],,,,,,,,,
151940,Reto Meier,Declan McKenna,Can we do this with objects?,,,,,,,,,,
151940,Reto Meier,Andras Balázs Lajtha,"Im having some trouble with this on a stock X8. OnSaveInstanceState is NEVER called. Not when going back to home screen, nor when pressing back button to get to the previous activity and neither in the case of quitting the app. On destroyed is called, but not onSaveInstance state.","['onSaveInstance', 'OnSaveInstanceState']",,,,,,,,,
